year,month,day,consumption
2018,1,1,-1.5415379166666712
2018,1,2,-1.2907713750000005
2018,1,3,-1.218134666666664
2018,1,4,-1.2116427083333363
2018,1,5,-1.307203333333334
2018,1,6,-1.2989276249999981
2018,1,7,-1.324659124999996
2018,1,8,-1.260509291666667
2018,1,9,-1.2740825000000024
2018,1,10,-1.2339935416666703
2018,1,11,-1.2500240416666588
2018,1,12,-1.2416679583333325
2018,1,13,-1.38985016666667
2018,1,14,-1.480469666666668
2018,1,15,-1.2554388333333375
2018,1,16,-1.2845964999999964
2018,1,17,-1.2389247500000022
2018,1,18,-1.2217832083333346
2018,1,19,-1.220985291666663
2018,1,20,-1.2540892083333317
2018,1,21,-1.4893919583333355
2018,1,22,-1.2519254583333346
2018,1,23,-1.275743416666669
2018,1,24,-1.2518607083333335
2018,1,25,-1.2363284583333332
2018,1,26,-1.2364981250000013
2018,1,27,-1.2881670416666633
2018,1,28,-1.5147109166666664
2018,1,29,-1.2707220416666678
2018,1,30,-1.2808442916666687
2018,1,31,-1.2503529999999994
2018,2,1,-1.27144545833333
2018,2,2,-1.2647686666666724
2018,2,3,-1.328438458333333
2018,2,4,-1.3768456250000007
2018,2,5,-1.2672303333333348
2018,2,6,-1.3006160416666694
2018,2,7,-1.2759517916666687
2018,2,8,-1.2725239583333285
2018,2,9,-1.268801416666664
2018,2,10,-1.289563124999998
2018,2,11,-1.3786671249999969
2018,2,12,-1.300742874999998
2018,2,13,-1.227913875000003
2018,2,14,-1.2815534166666647
2018,2,15,-1.2578720000000017
2018,2,16,-1.2641999166666666
2018,2,17,-1.2977494999999997
2018,2,18,-1.3768425416666616
2018,2,19,-1.2968597083333366
2018,2,20,-1.3006656250000044
2018,2,21,-1.2642080833333353
2018,2,22,-1.2790000416666694
2018,2,23,-1.2483399583333412
2018,2,24,-1.4800792083333336
2018,2,25,-1.378171166666666
2018,2,26,-1.3066440000000026
2018,2,27,-1.300278416666668
2018,2,28,-1.2766818333333345
2018,3,1,-1.310601624999997
2018,3,2,-1.3131618333333364
2018,3,3,-1.3253271250000047
2018,3,4,-1.5855474583333358
2018,3,5,-1.3398841666666639
2018,3,6,-1.3077274166666697
2018,3,7,-1.2815002083333333
2018,3,8,-1.2853934583333368
2018,3,9,-1.2745590416666663
2018,3,10,-1.3228780416666632
2018,3,11,-1.583237499999998
2018,3,12,-1.2884325833333377
2018,3,13,-1.250784833333333
2018,3,14,-1.288367458333335
2018,3,15,-1.2792811666666664
2018,3,16,-1.2630679583333355
2018,3,17,-1.5016112500000018
2018,3,18,-1.5805620416666668
2018,3,19,-1.3099662916666672
2018,3,20,-1.2859477499999976
2018,3,21,-1.3020903333333336
2018,3,22,-1.2836380833333343
2018,3,23,-1.2851115416666723
2018,3,24,-1.3462786666666677
2018,3,25,-1.5840134999999924
2018,3,26,-1.2927999583333363
2018,3,27,-1.2527225833333333
2018,3,28,-1.2590949166666643
2018,3,29,-1.2037934166666657
2018,3,30,-1.5741893749999976
2018,3,31,-1.5635319166666672
2018,4,1,-1.5761922916666684
2018,4,2,-1.324575708333332
2018,4,3,-1.305550166666665
2018,4,4,-1.2579423750000005
2018,4,5,-1.272464624999995
2018,4,6,-1.2554417500000035
2018,4,7,-1.311696166666668
2018,4,8,-1.5578454166666706
2018,4,9,-1.2987890833333344
2018,4,10,-1.2994971666666693
2018,4,11,-1.2661286249999966
2018,4,12,-1.2783495652173915
2018,4,13,-1.2238412500000029
2018,4,14,-1.445289166666669
2018,4,15,-1.562165125
2018,4,16,-1.2767035416666666
2018,4,17,-1.255218208333333
2018,4,18,-1.2653643333333304
2018,4,19,-1.2616700000000003
2018,4,20,-1.279048999999997
2018,4,21,-1.3002688750000024
2018,4,22,-1.4300668333333357
2018,4,23,-1.2651908750000038
2018,4,24,-1.2617231666666697
2018,4,25,-1.2964554166666657
2018,4,26,-1.266517583333334
2018,4,27,-1.2621412500000002
2018,4,28,-1.2834570833333345
2018,4,29,-1.5829024166666679
2018,4,30,-1.4849043750000035
2018,5,1,-1.5936348333333328
2018,5,2,-1.3454939166666702
2018,5,3,-1.2757830416666673
2018,5,4,-1.3008030416666687
2018,5,5,-1.3998442916666631
2018,5,6,-1.5521818750000005
2018,5,7,-1.3457333750000042
2018,5,8,-1.3454846250000012
2018,5,9,-1.3164467083333358
2018,5,10,-1.2962643333333344
2018,5,11,-1.2704677916666667
2018,5,12,-1.4520773333333317
2018,5,13,-1.3991902083333327
2018,5,14,-1.2731430833333344
2018,5,15,-1.2659456250000023
2018,5,16,-1.1920052083333348
2018,5,17,-1.2902303750000044
2018,5,18,-1.3253186249999995
2018,5,19,-1.49862729166667
2018,5,20,-1.5824807500000002
2018,5,21,-1.564683208333336
2018,5,22,-1.2640520000000008
2018,5,23,-1.2547294166666685
2018,5,24,-1.2897540000000025
2018,5,25,-1.278909416666664
2018,5,26,-1.5391793750000027
2018,5,27,-1.4265267083333326
2018,5,28,-1.2974046666666683
2018,5,29,-1.2275825000000042
2018,5,30,-1.2277917916666683
2018,5,31,-1.2717207916666637
2018,6,1,-1.2624035000000002
2018,6,2,-1.3122488749999996
2018,6,3,-1.5406548750000046
2018,6,4,-1.3309706249999984
2018,6,5,-1.307318624999998
2018,6,6,-1.2208417500000057
2018,6,7,-1.2648354166666662
2018,6,8,-1.248337541666667
2018,6,9,-1.3736772499999974
2018,6,10,-1.504418583333332
2018,6,11,-1.3281496666666723
2018,6,12,-1.2820050000000032
2018,6,13,-1.2832266666666647
2018,6,14,-1.2606992916666655
2018,6,15,-1.26457725
2018,6,16,-1.3105127500000011
2018,6,17,-1.539903124999997
2018,6,18,-1.3279859166666654
2018,6,19,-1.3065795416666666
2018,6,20,-1.3157274999999995
2018,6,21,-1.2963061666666682
2018,6,22,-1.2531089583333352
2018,6,23,-1.4749305833333306
2018,6,24,-1.575473666666662
2018,6,25,-1.2917547499999946
2018,6,26,-1.2625976249999995
2018,6,27,-1.243604916666669
2018,6,28,-1.2158366250000003
2018,6,29,-1.1983890416666667
2018,6,30,-1.284975208333332
2018,7,1,-1.3344735833333337
2018,7,2,-1.3194748333333297
2018,7,3,-1.2443245000000023
2018,7,4,-1.223383166666673
2018,7,5,-1.211877625000001
2018,7,6,-1.2310291249999994
2018,7,7,-1.2884109583333359
2018,7,8,-1.4495931249999978
2018,7,9,-1.258188875000003
2018,7,10,-1.2941121666666662
2018,7,11,-1.249088333333334
2018,7,12,-1.2545597916666666
2018,7,13,-1.2409237083333358
2018,7,14,-1.2840826666666694
2018,7,15,-1.514858375000001
2018,7,16,-1.576155458333336
2018,7,17,-1.298831958333337
2018,7,18,-1.2816848750000012
2018,7,19,-1.290912250000004
2018,7,20,-1.299111124999995
2018,7,21,-1.3359890833333339
2018,7,22,-1.5417534583333303
