year,month,day,consumption
2018,1,1,140.42440737500002
2018,1,2,196.8223045
2018,1,3,224.66535641666667
2018,1,4,218.93676833333333
2018,1,5,206.43511345833335
2018,1,6,190.80169650000002
2018,1,7,164.29763712500002
2018,1,8,215.83189495833335
2018,1,9,222.87703191666665
2018,1,10,224.964604875
2018,1,11,221.72981020833333
2018,1,12,217.29132829166667
2018,1,13,183.90242283333336
2018,1,14,157.24098654166667
2018,1,15,197.35657866666668
2018,1,16,172.06859041666667
2018,1,17,206.3201295
2018,1,18,209.99078704166666
2018,1,19,213.16725125000002
2018,1,20,180.54988083333333
2018,1,21,150.39000000000001
2018,1,22,201.99739095833334
2018,1,23,211.6717059166667
2018,1,24,210.70509241666664
2018,1,25,208.88132608333333
2018,1,26,203.38377400000002
2018,1,27,179.74577616666667
2018,1,28,158.51745441666665
2018,1,29,206.68977400000003
2018,1,30,203.6587165
2018,1,31,211.76410124999998
2018,2,1,208.60876399999998
2018,2,2,207.15672225
2018,2,3,171.84040954166667
2018,2,4,149.89631599999998
2018,2,5,194.07410679166665
2018,2,6,200.93564312499998
2018,2,7,204.333436875
2018,2,8,204.71156691666667
2018,2,9,202.18636683333332
2018,2,10,170.20322041666665
2018,2,11,149.5821395416667
2018,2,12,198.01929875
2018,2,13,206.13673645833333
2018,2,14,198.516262625
2018,2,15,201.87392491666665
2018,2,16,205.04401383333334
2018,2,17,171.43822624999999
2018,2,18,148.403432125
2018,2,19,190.749655125
2018,2,20,196.06456825
2018,2,21,200.20278929166668
2018,2,22,199.821252375
2018,2,23,191.66860516666668
2018,2,24,171.02637858333333
2018,2,25,149.56189175
2018,2,26,192.369838
2018,2,27,194.51895558333334
2018,2,28,198.57847233333334
2018,3,1,204.46446308333336
2018,3,2,205.22118258333333
2018,3,3,177.916074375
2018,3,4,152.693265375
2018,3,5,207.6275545
2018,3,6,214.43259912500002
2018,3,7,206.425951625
2018,3,8,204.51018616666667
2018,3,9,200.28537725
2018,3,10,172.53279783333335
2018,3,11,144.681608375
2018,3,12,196.42295620833332
2018,3,13,205.44174220833335
2018,3,14,196.31794395833333
2018,3,15,199.63480358333334
2018,3,16,200.41777333333334
2018,3,17,173.87330004166665
2018,3,18,158.85777495833332
2018,3,19,195.92201054166665
2018,3,20,208.314808
2018,3,21,199.831855875
2018,3,22,201.97151666666664
2018,3,23,198.20261591666667
2018,3,24,168.296428375
2018,3,25,147.90445779166666
2018,3,26,196.61699720833334
2018,3,27,201.4284501666667
2018,3,28,202.53714841666667
2018,3,29,182.60054133333335
2018,3,30,147.451589875
2018,3,31,147.628275125
2018,4,1,143.23588708333332
2018,4,2,189.67830958333334
2018,4,3,200.97583704166667
2018,4,4,200.44921133333332
2018,4,5,200.5549665
2018,4,6,196.27393066666664
2018,4,7,168.521354
2018,4,8,148.50680991666667
2018,4,9,188.60704966666665
2018,4,10,198.4517365
2018,4,11,196.374882875
2018,4,12,198.08236839130436
