year,month,day,consumption
2018,1,1,281.40792375
2018,1,2,392.98805633333336
2018,1,3,450.313401125
2018,1,4,428.38561325
2018,1,5,385.79502758333336
2018,1,6,378.9455980416667
2018,1,7,328.90279991666665
2018,1,8,438.01115883333335
2018,1,9,447.99432025000004
2018,1,10,453.5148937083333
2018,1,11,447.2411037916667
2018,1,12,433.95056808333334
2018,1,13,359.68380725
2018,1,14,305.0892395833333
2018,1,15,392.32975583333337
2018,1,16,349.73526941666665
2018,1,17,409.39589854166667
2018,1,18,406.75368325
2018,1,19,423.47061125
2018,1,20,364.76347691666666
2018,1,21,300.4176277916667
2018,1,22,409.1284396666667
2018,1,23,424.487504625
2018,1,24,427.0897508333333
2018,1,25,420.4825477916667
2018,1,26,412.32437125
2018,1,27,366.55532783333337
2018,1,28,315.9750887916667
2018,1,29,409.9564652083333
2018,1,30,403.619789
2018,1,31,406.894332375
2018,2,1,411.64345454166664
2018,2,2,417.6375559583333
2018,2,3,348.903428875
2018,2,4,307.90124433333335
2018,2,5,387.2765885416666
2018,2,6,398.6341500833333
2018,2,7,407.4557799583333
2018,2,8,406.1338245833333
2018,2,9,402.28713066666666
2018,2,10,343.4652598333334
2018,2,11,302.6325982083333
2018,2,12,390.2798857083333
2018,2,13,403.2576891666667
2018,2,14,391.33272904166665
2018,2,15,394.4268750833333
2018,2,16,406.3648514583333
2018,2,17,342.0925736666666
2018,2,18,298.64464891666665
2018,2,19,372.68216675
2018,2,20,378.4787631666666
2018,2,21,376.726250375
2018,2,22,377.4867036666667
2018,2,23,363.0056123333333
2018,2,24,330.77336133333336
2018,2,25,300.82249483333334
2018,2,26,363.30130754166663
2018,2,27,369.55744658333333
2018,2,28,401.66383275
2018,3,1,410.02881791666664
2018,3,2,403.87418045833334
2018,3,3,361.0057435416666
2018,3,4,309.33760908333335
2018,3,5,415.93010424999994
2018,3,6,421.0631061666666
2018,3,7,401.25944391666667
2018,3,8,406.21973645833333
2018,3,9,390.80092741666664
2018,3,10,353.8652783333334
2018,3,11,317.28963604166665
2018,3,12,389.4172824583333
2018,3,13,401.3397459166667
2018,3,14,377.03736204166665
2018,3,15,384.1848425
2018,3,16,389.53312170833334
2018,3,17,349.0618449583333
2018,3,18,278.186268
2018,3,19,385.7606262916667
2018,3,20,412.75345633333336
2018,3,21,414.9766037916667
2018,3,22,405.246923875
2018,3,23,395.63699866666667
2018,3,24,323.05859533333336
2018,3,25,280.0683550416667
2018,3,26,399.4727105
2018,3,27,400.96935325000004
2018,3,28,384.38498
2018,3,29,348.0776376666667
2018,3,30,306.8694888333333
2018,3,31,304.81934370833335
2018,4,1,295.1573358333333
2018,4,2,367.5179123333333
2018,4,3,392.30003229166664
2018,4,4,378.8187922916666
2018,4,5,391.5353607916666
2018,4,6,379.8467024166667
2018,4,7,335.8881499166667
2018,4,8,297.0548304166667
2018,4,9,378.8145597916667
2018,4,10,396.93670825
2018,4,11,387.777859375
2018,4,12,389.86218708695657
2018,4,13,423.3202445833333
2018,4,14,367.77423075
2018,4,15,340.37262395833335
2018,4,16,417.35475370833336
2018,4,17,406.3645387083333
2018,4,18,419.1435558333333
2018,4,19,413.0974455416667
2018,4,20,403.06391391666665
2018,4,21,368.74079675
2018,4,22,321.7900192083334
2018,4,23,393.21303662500003
2018,4,24,383.54457191666665
2018,4,25,407.02100225000004
2018,4,26,414.0819245416667
2018,4,27,418.6750690833333
2018,4,28,379.2957644583333
2018,4,29,314.046015875
2018,4,30,397.49012700000003
2018,5,1,309.1866194583333
2018,5,2,408.06839187500003
2018,5,3,397.84027554166664
2018,5,4,395.2102341666667
2018,5,5,365.65745837500003
2018,5,6,329.53217866666665
2018,5,7,421.868751
2018,5,8,435.6920005416667
2018,5,9,396.89092654166666
2018,5,10,420.60620166666666
2018,5,11,399.90742008333336
2018,5,12,384.8068576666667
2018,5,13,375.0159168333334
2018,5,14,388.24598720833336
2018,5,15,440.51951812500005
2018,5,16,432.5426160833333
2018,5,17,414.09819408333334
2018,5,18,429.1984650416667
2018,5,19,385.10781075
2018,5,20,275.10736354166664
2018,5,21,293.84528912499997
2018,5,22,376.8045915833333
2018,5,23,375.8113015833333
2018,5,24,387.1803914166667
2018,5,25,392.74636454166665
2018,5,26,299.18010499999997
2018,5,27,284.98050770833333
2018,5,28,392.90073658333336
2018,5,29,442.28374295833333
2018,5,30,378.89271470833336
2018,5,31,332.96110649999997
2018,6,1,405.27398675
2018,6,2,288.745733125
2018,6,3,284.70455604166665
2018,6,4,358.11564116666665
2018,6,5,325.66683754166667
2018,6,6,318.0719920833333
2018,6,7,296.2569696666667
2018,6,8,303.43896958333335
2018,6,9,274.9558777916667
2018,6,10,259.54520333333335
2018,6,11,341.379170125
2018,6,12,354.2868472083333
2018,6,13,325.11673091666665
2018,6,14,309.20165045833335
2018,6,15,277.24330308333333
2018,6,16,209.448659625
2018,6,17,186.55519716666666
2018,6,18,248.44786962499998
2018,6,19,264.754094125
2018,6,20,260.497759375
2018,6,21,320.3010175
2018,6,22,350.3408770416667
2018,6,23,306.362461875
2018,6,24,280.71091674999997
2018,6,25,302.70422045833334
2018,6,26,329.9172775
2018,6,27,371.5758862083333
2018,6,28,378.455565
2018,6,29,489.15212049999997
2018,6,30,463.56801591666664
2018,7,1,404.6051675833333
2018,7,2,410.5696745416667
2018,7,3,436.6509229166666
2018,7,4,519.743952625
2018,7,5,491.9576422083333
2018,7,6,510.331965625
2018,7,7,421.92475125000004
2018,7,8,377.43118645833334
2018,7,9,404.4238448333333
2018,7,10,368.28160245833334
2018,7,11,353.5166075
2018,7,12,347.77933475000003
2018,7,13,323.584143125
2018,7,14,220.24964525
2018,7,15,312.62880229166666
2018,7,16,351.1363214166667
2018,7,17,415.1312023333333
2018,7,18,347.09620670833334
2018,7,19,349.60056775
2018,7,20,335.7622906666667
2018,7,21,377.71157
2018,7,22,325.52169358333333
2018,7,23,370.42077604166667
2018,7,24,317.946658625
2018,7,25,286.4990142916667
2018,7,26,291.21193991666667
2018,7,27,313.84582358333336
2018,7,28,228.12227583333333
2018,7,29,205.12331095833335
2018,7,30,296.42889283333335
2018,7,31,284.4721117916667
2018,8,1,280.5214062083333
2018,8,2,302.7969360416667
2018,8,3,388.31371087499997
2018,8,4,334.599503125
2018,8,5,321.058101625
2018,8,6,361.88011687499994
2018,8,7,251.70234183333335
2018,8,8,263.2593585833333
2018,8,9,273.2876870833333
2018,8,10,282.655891125
2018,8,11,225.33992758333332
2018,8,12,189.99941582608696
2018,8,13,301.9535798333333
2018,8,14,305.43423070833336
2018,8,15,272.35918083333337
2018,8,16,295.7363975416667
2018,8,17,303.63349658333334
2018,8,18,278.74428179166665
2018,8,19,235.63005808333332
2018,8,20,294.3393126666667
2018,8,21,319.640118625
2018,8,22,345.0109229166667
2018,8,23,343.07544729166665
2018,8,24,329.71952475
2018,8,25,265.7666726666667
2018,8,26,251.17077766666668
2018,8,27,266.42718045833334
2018,8,28,289.617867375
2018,8,29,298.08654416666667
2018,8,30,292.090918
2018,8,31,290.52901241666666
2018,9,1,222.6551647916667
2018,9,2,213.906755625
2018,9,3,254.73618304166666
2018,9,4,277.833269625
2018,9,5,259.28337404166666
2018,9,6,261.197844375
2018,9,7,295.82104654166665
2018,9,8,247.3621865
2018,9,9,246.39469925
2018,9,10,292.0316477083333
2018,9,11,295.4355312083333
2018,9,12,309.5694549583333
2018,9,13,302.42344291666666
2018,9,14,415.986441625
2018,9,15,370.9489569583333
2018,9,16,327.3697225
2018,9,17,308.50586995833334
2018,9,18,282.60275529166665
2018,9,19,298.3834590833333
2018,9,20,337.04685995833336
2018,9,21,359.5445340416666
2018,9,22,350.28425845833334
2018,9,23,306.15132445833336
2018,9,24,418.980834875
2018,9,25,441.35766525
2018,9,26,441.56000900000004
2018,9,27,446.13595995833333
2018,9,28,443.495561125
2018,9,29,396.79877591666667
2018,9,30,329.3175806666667
2018,10,1,448.6929822083334
2018,10,2,440.59133941666664
2018,10,3,443.5589434583333
2018,10,4,429.76985041666666
2018,10,5,411.92476175
2018,10,6,347.86968079166667
2018,10,7,316.5774220416667
2018,10,8,414.41773183333333
2018,10,9,436.43824875
2018,10,10,437.45489875
2018,10,11,435.271871875
2018,10,12,347.09503366666667
2018,10,13,371.89327166666664
2018,10,14,286.98316445833336
2018,10,15,311.161934125
2018,10,16,418.9065324583333
2018,10,17,431.98464366666667
2018,10,18,437.42298304166667
2018,10,19,422.54873820833336
2018,10,20,345.46494812500003
2018,10,21,312.10346925
2018,10,22,397.28776216666665
2018,10,23,408.7576046666666
2018,10,24,412.50801954166667
2018,10,25,412.5524447916667
2018,10,26,415.148459625
2018,10,27,354.6553450833333
2018,10,28,282.43448895833336
2018,10,29,404.07855820833333
2018,10,30,418.623556
2018,10,31,406.2484663333333
2018,11,1,310.48977779166665
2018,11,2,313.1212205416667
2018,11,3,349.94689554166666
2018,11,4,351.0864139166667
2018,11,5,446.48175175
2018,11,6,509.0952199583333
2018,11,7,484.887421125
2018,11,8,424.44230100000004
2018,11,9,406.0074897916666
2018,11,10,339.75049479166665
2018,11,11,256.31019633333335
2018,11,12,390.60140162500005
2018,11,13,399.46440608333336
2018,11,14,418.8083645
2018,11,15,440.92177599999997
2018,11,16,427.568485125
2018,11,17,370.93591725000005
2018,11,18,344.5804532083334
2018,11,19,463.0717496666667
2018,11,20,481.60681666666665
2018,11,21,481.87109933333335
2018,11,22,469.63178204166667
2018,11,23,475.17348666666663
2018,11,24,411.99769291666667
2018,11,25,367.0841170833333
2018,11,26,454.7417256666667
2018,11,27,450.21406475000003
2018,11,28,459.05638887500004
2018,11,29,303.816265375
2018,11,30,288.18946729166663
2018,12,1,269.74304191666664
2018,12,2,196.83503495833335
2018,12,3,293.53894783333334
2018,12,4,291.1378061666667
2018,12,5,299.05126329166666
2018,12,6,323.4734955
2018,12,7,423.117565
2018,12,8,249.62560479166666
2018,12,9,130.73410004166666
2018,12,10,266.691286875
2018,12,11,302.75794920833334
2018,12,12,334.23287016666666
2018,12,13,301.12297679166664
2018,12,14,302.820683
2018,12,15,222.51309279166665
2018,12,16,201.30980570833333
2018,12,17,291.1355458333333
2018,12,18,421.2527778333333
2018,12,19,481.50517779166665
2018,12,20,298.20831425
2018,12,21,316.37820858333333
2018,12,22,234.8839515
2018,12,23,211.46854504166666
2018,12,24,230.75485829166666
2018,12,25,176.87351466666667
2018,12,26,285.67991858333335
2018,12,27,321.2801107916667
2018,12,28,317.99624804166666
2018,12,29,210.1593379166667
2018,12,30,177.21343158333332
2018,12,31,206.727783625
2019,1,1,186.99030795833335
2019,1,2,293.86524729166666
2019,1,3,317.2454089166667
2019,1,4,330.7640745416667
2019,1,5,219.04397304166665
2019,1,6,177.37628400000003
2019,1,7,255.96693766666667
2019,1,8,279.7298934583334
2019,1,9,269.746726875
2019,1,10,307.305932375
2019,1,11,310.93346433333335
2019,1,12,380.69697508333337
2019,1,13,341.97941050000003
2019,1,14,325.83475204166666
2019,1,15,303.7725150833333
2019,1,16,309.994605625
2019,1,17,303.9071254583333
2019,1,18,319.8396548333333
2019,1,19,245.05849845833333
2019,1,20,169.29354745833334
2019,1,21,286.26948345833335
2019,1,22,307.65133158333333
2019,1,23,317.77984566666663
2019,1,24,301.3823350833333
2019,1,25,293.69754474999996
2019,1,26,251.56648991666665
2019,1,27,209.20573391666667
2019,1,28,302.5455841666667
2019,1,29,319.646549875
2019,1,30,311.0397742916667
2019,1,31,319.65213208333336
2019,2,1,320.4061668333333
2019,2,2,253.56770183333333
2019,2,3,241.959493125
2019,2,4,307.850281125
2019,2,5,302.3585361666667
2019,2,6,312.30533629166666
2019,2,7,326.49132075
2019,2,8,308.5911394583333
2019,2,9,275.63641570833335
2019,2,10,245.31578775
2019,2,11,279.98412625
2019,2,12,284.8585274583333
2019,2,13,288.0707249583333
2019,2,14,429.11601475
2019,2,15,432.6801965833333
2019,2,16,356.3831555
2019,2,17,280.21915358333337
2019,2,18,416.0323812916667
2019,2,19,428.7791810833333
2019,2,20,362.3679137916667
2019,2,21,252.4473137916667
2019,2,22,250.108187625
2019,2,23,229.31265499999998
2019,2,24,243.67286270833333
2019,2,25,271.9874168333333
2019,2,26,269.9913270833334
2019,2,27,286.441663
2019,2,28,286.64686670833333
2019,3,1,282.0120649166667
2019,3,2,266.25195791666664
2019,3,3,238.64832841666666
2019,3,4,291.57748591666666
2019,3,5,313.6328355416667
2019,3,6,283.33399633333335
2019,3,7,276.6358259583333
2019,3,8,262.47554920833335
2019,3,9,254.66241108333335
2019,3,10,172.1682933333333
2019,3,11,259.03541583333333
2019,3,12,273.3151217916667
2019,3,13,268.788178625
2019,3,14,264.70376491666667
2019,3,15,257.5863533333333
2019,3,16,335.3123527083333
2019,3,17,300.80326245833334
2019,3,18,359.75344870833334
2019,3,19,365.00767312500005
2019,3,20,375.5496754583333
2019,3,21,373.4788917916667
2019,3,22,376.4620255
2019,3,23,304.26597466666664
2019,3,24,316.1048710416667
2019,3,25,371.38835
2019,3,26,376.78292995833334
2019,3,27,373.4871087916667
2019,3,28,356.53758799999997
2019,3,29,361.85561633333333
2019,3,30,361.13069879166665
2019,3,31,245.11144425
2019,4,1,249.49051674999998
2019,4,2,284.81203454166666
2019,4,3,264.0133402083333
2019,4,4,237.31219854166667
2019,4,5,248.97097183333332
2019,4,6,198.9288615
2019,4,7,176.78698141666666
2019,4,8,237.02019345833332
2019,4,9,231.06512233333333
2019,4,10,256.98252883333333
2019,4,11,238.08453599999999
2019,4,12,242.637926375
2019,4,13,282.40100083333334
2019,4,14,171.32586508333335
2019,4,15,249.557121625
2019,4,16,246.79333579166666
2019,4,17,251.51567945833335
2019,4,18,227.76940875
2019,4,19,139.126450625
2019,4,20,146.04262404166667
2019,4,21,135.16905441666668
2019,4,22,212.6682077083333
2019,4,23,240.58324374999998
2019,4,24,264.375873625
2019,4,25,257.76113108333334
2019,4,26,245.66270408333332
2019,4,27,196.4571160416667
2019,4,28,212.9132065
2019,4,29,264.77636520833335
2019,4,30,253.24224233333334
2019,5,1,186.68612216666668
2019,5,2,285.359419
2019,5,3,269.44420241666666
2019,5,4,239.5654765416667
2019,5,5,209.00994820833333
2019,5,6,293.4459435
2019,5,7,280.3266645416667
2019,5,8,287.45664575
2019,5,9,266.46359233333334
2019,5,10,270.3255314166667
2019,5,11,213.69748966666668
2019,5,12,184.945243625
2019,5,13,269.377043125
2019,5,14,264.765095625
2019,5,15,282.8011569166667
2019,5,16,304.246044875
2019,5,17,290.32169204166667
2019,5,18,196.89469341666666
2019,5,19,191.0673490416667
2019,5,20,253.83038879166668
2019,5,21,213.320672375
2019,5,22,292.9568239166667
2019,5,23,298.29769754166665
2019,5,24,303.93240391666666
2019,5,25,343.19718766666665
2019,5,26,266.96865537499997
2019,5,27,406.3950438333334
2019,5,28,426.89089908333335
2019,5,29,425.233454625
2019,5,30,444.20466641666667
2019,5,31,468.75248575
2019,6,1,432.420929125
2019,6,2,298.63611975
2019,6,3,464.488094375
2019,6,4,425.21073758333335
2019,6,5,393.70753975
2019,6,6,383.0293996666667
2019,6,7,378.47408433333334
2019,6,8,295.72946758333336
2019,6,9,327.149823875
2019,6,10,442.9625860416667
2019,6,11,357.6492491666667
2019,6,12,403.0006732916667
2019,6,13,408.7407777083333
2019,6,14,393.2447893333333
2019,6,15,305.45298520833336
2019,6,16,271.5244970416667
2019,6,17,379.817406875
2019,6,18,469.5277082083333
2019,6,19,441.4271972083333
2019,6,20,343.2860450416667
2019,6,21,367.63429420833336
2019,6,22,288.48657670833336
2019,6,23,272.701114875
2019,6,24,393.91708875
2019,6,25,374.067275375
2019,6,26,374.19500745833335
2019,6,27,364.92526941666665
2019,6,28,369.1783780416667
2019,6,29,327.5568685
2019,6,30,342.15002945833334
2019,7,1,380.6500911666667
2019,7,2,399.9135261666667
2019,7,3,395.57414445833336
2019,7,4,394.1451965416666
2019,7,5,487.3070452916666
2019,7,6,420.751543375
2019,7,7,338.6534165
2019,7,8,462.184673125
2019,7,9,366.206162625
2019,7,10,378.4435705416667
2019,7,11,373.17735220833333
2019,7,12,340.53850945833335
2019,7,13,254.16002225
2019,7,14,172.55990574999998
2019,7,15,176.35947141666668
2019,7,16,278.70871358333335
2019,7,17,454.9110619166667
2019,7,18,458.960165
2019,7,19,435.513618125
2019,7,20,333.96557475000003
2019,7,21,315.43637516666666
2019,7,22,385.14165249999996
2019,7,23,422.7995144583333
2019,7,24,418.621206625
2019,7,25,457.91675749999996
2019,7,26,407.489919875
2019,7,27,294.63748829166667
2019,7,28,251.27258545833334
2019,7,29,324.63213287499997
2019,7,30,321.5878847083333
2019,7,31,327.55252033333335
2019,8,1,479.21002716666663
2019,8,2,510.6094185
2019,8,3,446.15917320833336
2019,8,4,373.0723589583333
2019,8,5,461.31982175
