year,month,day,consumption
2018,1,1,200.2136833333333
2018,1,2,350.5956966666667
2018,1,3,378.7962073333333
2018,1,4,409.964318
2018,1,5,363.7424855
2018,1,6,308.58754166666665
2018,1,7,224.820349
2018,1,8,338.4984994166667
2018,1,9,372.3286089166666
2018,1,10,377.07988974999995
2018,1,11,382.22858849999994
2018,1,12,358.47993204166664
2018,1,13,275.907010875
2018,1,14,236.731660125
2018,1,15,334.67885954166667
2018,1,16,292.02229479166664
2018,1,17,394.25894275
2018,1,18,374.40849299999996
2018,1,19,394.1941965833333
2018,1,20,280.86283275
2018,1,21,245.92233575
2018,1,22,371.0418602083334
2018,1,23,375.60705979166664
2018,1,24,410.494938
2018,1,25,404.273321125
2018,1,26,384.80949025
2018,1,27,298.030192875
2018,1,28,266.4648255
2018,1,29,377.97103599999997
2018,1,30,417.2932713333333
2018,1,31,438.90875262500003
2018,2,1,435.011003
2018,2,2,427.216563375
2018,2,3,347.4001925
2018,2,4,289.2334891666667
2018,2,5,437.80223225000003
2018,2,6,451.94672075
2018,2,7,438.6721110833334
2018,2,8,432.72988133333337
2018,2,9,419.324549625
2018,2,10,323.58358179166663
2018,2,11,270.18931575
2018,2,12,411.19968866666665
2018,2,13,464.11002383333334
2018,2,14,469.577916625
2018,2,15,450.0269135416667
2018,2,16,411.59161191666664
2018,2,17,358.0553684166667
2018,2,18,266.2716245
2018,2,19,405.2519855
2018,2,20,459.382169875
2018,2,21,517.1627241666666
2018,2,22,496.30105933333334
2018,2,23,498.87241879166663
2018,2,24,412.077302
2018,2,25,306.349539375
2018,2,26,470.60524058333334
2018,2,27,493.48699166666665
2018,2,28,498.0808425416667
2018,3,1,495.06531762500003
2018,3,2,497.61874366666666
2018,3,3,363.31199008333334
2018,3,4,299.9504650833333
2018,3,5,427.3941624166667
2018,3,6,453.34333483333336
2018,3,7,441.18465937499997
2018,3,8,485.0597082916667
2018,3,9,485.67484425
2018,3,10,368.7067010416667
2018,3,11,299.62605779166665
2018,3,12,457.9137035416666
2018,3,13,489.757147625
2018,3,14,527.5049195
2018,3,15,519.9424587916667
