year,month,day,consumption
2018,1,1,0.11218008333333303
2018,1,2,0.2998205416666688
2018,1,3,0.3944671666666664
2018,1,4,0.8479247083333331
2018,1,5,0.4439285833333329
2018,1,6,0.4075838333333364
2018,1,7,0.23639249999999898
2018,1,8,0.48877958333333366
2018,1,9,0.48807795833333145
2018,1,10,0.5522626250000012
2018,1,11,2.341456666666668
2018,1,12,47.964918374999996
2018,1,13,44.53626595833333
2018,1,14,0.28085149999999887
2018,1,15,0.42743133333333366
2018,1,16,0.31504433333333187
2018,1,17,0.5278241250000012
2018,1,18,0.5319124583333342
2018,1,19,0.9332940833333337
2018,1,20,0.27897179166666536
2018,1,21,0.29194766666666794
2018,1,22,0.5746757916666682
2018,1,23,0.5336312083333334
2018,1,24,0.5219853750000018
2018,1,25,-1.188141291666666
2018,1,26,-2.325885458333333
2018,1,27,-4.840870625000002
2018,1,28,-5.600425
2018,1,29,-5.327601500000003
2018,1,30,-5.070526749999999
2018,1,31,-5.263988750000001
2018,2,1,-5.367042875000004
2018,2,2,-5.233207416666667
2018,2,3,-5.363135124999997
2018,2,4,-5.571388708333333
2018,2,5,-5.2308434166666675
2018,2,6,-5.071205208333332
2018,2,7,-5.164247249999998
2018,2,8,-5.097951541666666
2018,2,9,-4.899602708333333
2018,2,10,-5.068166041666668
2018,2,11,-5.152520833333333
2018,2,12,-5.118273666666668
2018,2,13,-5.150581166666665
2018,2,14,-5.0349431250000025
2018,2,15,-5.048007333333333
2018,2,16,-5.229398416666668
2018,2,17,-5.293239958333333
2018,2,18,-5.2264837916666655
2018,2,19,-5.083885583333333
2018,2,20,-4.984110833333333
2018,2,21,-5.253964166666665
2018,2,22,-5.226016833333335
2018,2,23,-5.200518458333333
2018,2,24,-5.409607041666667
2018,2,25,-5.423162166666665
2018,2,26,-5.348075541666664
2018,2,27,-5.155442208333335
2018,2,28,-2.6777695833333333
2018,3,1,-5.381987458333332
2018,3,2,-5.523254708333333
2018,3,3,-5.673511500000001
2018,3,4,-5.659927833333335
2018,3,5,-5.4580102083333335
2018,3,6,-5.3625475000000025
2018,3,7,-5.172452916666663
2018,3,8,-5.226056458333333
2018,3,9,-5.278264750000003
2018,3,10,-5.247832000000001
2018,3,11,-5.455726291666665
2018,3,12,-5.265886541666667
2018,3,13,-4.986572333333335
2018,3,14,-4.971104416666669
2018,3,15,-4.95376525
2018,3,16,-5.434341125
2018,3,17,-5.003585791666666
2018,3,18,-5.1961612499999985
2018,3,19,-4.961081208333332
2018,3,20,-4.950036166666668
2018,3,21,-6.180051250000002
2018,3,22,-4.884471499999999
2018,3,23,-4.853026166666665
2018,3,24,-5.024236250000002
2018,3,25,-5.217971083333333
2018,3,26,-5.116786958333335
2018,3,27,-3.331268125
2018,3,28,-3.3677416250000007
2018,3,29,-9.708966
2018,3,30,-5.117790583333333
2018,3,31,-4.992913333333333
2018,4,1,-5.0503167499999995
2018,4,2,-4.955188041666668
2018,4,3,-4.878630916666666
2018,4,4,-7.563570958333336
2018,4,5,-4.84654075
2018,4,6,-5.013810458333332
2018,4,7,-5.120204958333334
2018,4,8,-5.248679666666668
2018,4,9,-4.951957499999999
2018,4,10,-5.055686083333331
2018,4,11,-5.044763541666666
2018,4,12,-4.8101205217391305
2018,4,13,-5.781166166666666
2018,4,14,-5.042958041666666
2018,4,15,-5.2910290416666665
2018,4,16,-4.973867583333333
2018,4,17,-4.756362624999999
2018,4,18,-4.8578819583333335
2018,4,19,6.697072124999998
2018,4,20,32.07815879166667
2018,4,21,33.023060666666666
2018,4,22,-5.148286291666664
2018,4,23,-4.943195208333331
2018,4,24,-4.850787333333334
2018,4,25,-3.7005522499999994
2018,4,26,-4.810319791666666
2018,4,27,-4.8817805000000005
2018,4,28,-4.754644333333333
2018,4,29,-4.962728291666667
2018,4,30,-5.019763
2018,5,1,-5.037359375000001
2018,5,2,-4.990507666666667
2018,5,3,-4.948458333333334
2018,5,4,-4.937156750000001
2018,5,5,-4.966177000000002
2018,5,6,-5.312513500000001
2018,5,7,1.1108680833333324
2018,5,8,19.821715
2018,5,9,-5.181618249999999
2018,5,10,-5.04491275
2018,5,11,-5.250235291666667
2018,5,12,-5.970154541666666
2018,5,13,-6.280317208333333
2018,5,14,-6.219613333333332
2018,5,15,-6.453499666666666
2018,5,16,-6.409045916666666
2018,5,17,-5.946420374999999
2018,5,18,-5.404328833333334
2018,5,19,10.141603625
2018,5,20,-5.863501333333333
2018,5,21,-6.167836250000001
2018,5,22,-6.016383
2018,5,23,-6.065132625
2018,5,24,-5.925925541666667
2018,5,25,-5.987699583333334
2018,5,26,-6.593146916666666
2018,5,27,-6.860385708333332
2018,5,28,-5.949717416666668
2018,5,29,-7.020591749999999
2018,5,30,-7.0074709583333314
2018,5,31,-7.006159625000001
2018,6,1,-7.046238291666666
2018,6,2,-7.138117208333334
2018,6,3,-7.470822416666667
2018,6,4,-8.429804916666667
2018,6,5,-8.196407208333333
2018,6,6,-7.245195625
2018,6,7,-6.950233541666667
