year,month,day,consumption
2018,1,1,173.90211770833332
2018,1,2,228.72666583333333
2018,1,3,261.0676467916667
2018,1,4,245.42599420833335
2018,1,5,237.16953279166668
2018,1,6,223.08197829166667
2018,1,7,216.82170162499997
2018,1,8,266.0539494166667
2018,1,9,262.12245791666663
2018,1,10,262.75582133333336
2018,1,11,258.1771419583333
2018,1,12,259.73584958333333
2018,1,13,220.117554125
2018,1,14,191.53564295833334
2018,1,15,224.64772291666668
2018,1,16,194.86433804166666
2018,1,17,225.98428983333335
2018,1,18,232.88299400000002
2018,1,19,237.12048133333334
2018,1,20,219.21880183333334
2018,1,21,192.65389970833334
2018,1,22,225.1344835
2018,1,23,233.18370245833333
2018,1,24,221.1040885
2018,1,25,221.30513191666668
2018,1,26,219.95838395833334
2018,1,27,200.45621041666666
2018,1,28,193.96920729166666
2018,1,29,240.52610045833333
2018,1,30,222.42645120833333
2018,1,31,229.6860847083333
2018,2,1,229.79103620833334
2018,2,2,228.79579237500002
2018,2,3,186.9626046666667
2018,2,4,178.28270341666666
2018,2,5,203.4841649583333
2018,2,6,210.86233041666665
2018,2,7,222.60265291666667
2018,2,8,215.07194883333332
2018,2,9,211.82325441666669
2018,2,10,187.95160116666668
2018,2,11,171.17565887499998
2018,2,12,216.05815504166665
2018,2,13,210.71537212500002
2018,2,14,203.90214949999998
2018,2,15,211.336324625
2018,2,16,227.476384875
2018,2,17,179.084873875
2018,2,18,176.52024820833333
2018,2,19,212.49482104166668
2018,2,20,193.92914883333333
2018,2,21,191.94777070833334
2018,2,22,198.21963820833332
2018,2,23,184.39319987500002
2018,2,24,153.37865495833333
2018,2,25,155.18264545833333
2018,2,26,191.176033
2018,2,27,184.29405129166665
2018,2,28,175.13320608333333
2018,3,1,189.02640191666669
2018,3,2,195.10003491666666
2018,3,3,175.70855133333336
2018,3,4,163.19133670833332
2018,3,5,217.399891
2018,3,6,218.85732562500002
2018,3,7,210.3753825
2018,3,8,195.46573745833334
2018,3,9,193.870361375
2018,3,10,161.77511204166666
2018,3,11,157.22945133333334
2018,3,12,195.15819270833333
2018,3,13,189.535712125
2018,3,14,168.49896729166667
2018,3,15,176.34348
2018,3,16,186.98473929166667
2018,3,17,153.64696104166666
2018,3,18,148.81120479166665
2018,3,19,189.25867920833332
2018,3,20,193.93784829166668
2018,3,21,178.04919570833331
2018,3,22,174.18483808333335
2018,3,23,167.05316966666666
2018,3,24,138.94654062499998
2018,3,25,133.20823104166666
2018,3,26,171.27095633333332
2018,3,27,184.6037931666667
2018,3,28,184.39922208333334
2018,3,29,162.06457858333332
2018,3,30,142.451141375
2018,3,31,153.39538941666666
2018,4,1,148.34168574999998
2018,4,2,185.25448416666666
2018,4,3,183.9201080833333
2018,4,4,176.47651812499998
2018,4,5,179.85272779166667
2018,4,6,178.04371354166668
2018,4,7,141.56595679166665
2018,4,8,135.65705033333333
2018,4,9,169.229022125
2018,4,10,174.75669054166667
2018,4,11,165.67511366666668
2018,4,12,171.17107591304347
2018,4,13,207.121667
2018,4,14,160.21225216666667
2018,4,15,156.767479625
2018,4,16,194.79526283333334
2018,4,17,189.25555016666667
2018,4,18,192.05108854166667
2018,4,19,184.50842733333334
2018,4,20,185.49321654166667
2018,4,21,152.44433583333333
2018,4,22,133.11116604166668
2018,4,23,185.73638241666666
2018,4,24,169.20848316666667
